year,PD,PDD,XPD,AO,AOD,XAO,RPD,RAO,P,P1
1987,367,166.8181818,5.116904488,60,27.27272727,3.305887202,-1.439453729,-1.049822124,57.5,513.4
1988,87,39.54545455,3.677450758,21,9.545454545,2.256065077,-0.615760517,-3.044522438,104.3,57.5
1989,47,21.36363636,3.061690241,1,0.454545455,-0.78845736,0.227389842,0,63.4,104.3
1990,59,26.81818182,3.289080084,1,0.454545455,-0.78845736,0.93309785,0,200.8,63.4
1991,150,68.18181818,4.222177934,1,0.454545455,-0.78845736,-0.214844748,3.891820298,307.2,200.8
1992,121,55,4.007333185,49,22.27272727,3.103362938,-0.210823067,-0.896088025,162.5,307.2
1993,98,44.54545455,3.796510118,20,9.090909091,2.207274913,-1.876917278,-1.609437912,71,162.5
1994,15,6.818181818,1.919592841,4,1.818181818,0.597837001,-1.098612289,-1.386294361,93.7,71
1995,5,2.272727273,0.820980552,1,0.454545455,-0.78845736,1.435084525,1.098612289,95.9,93.7
1996,21,9.545454545,2.256065077,3,1.363636364,0.310154928,1.580450376,2.079441542,436,95.9
1997,102,46.36363636,3.836515453,24,10.90909091,2.38959647,-2.427748236,-2.48490665,15.8,436
1998,9,4.090909091,1.408767217,2,0.909090909,-0.09531018,0.980829253,0.916290732,148,15.8
1999,24,10.90909091,2.38959647,5,2.272727273,0.820980552,0.405465108,-0.510825624,252,148
2000,36,16.36363636,2.795061578,3,1.363636364,0.310154928,0.287682072,0.84729786,204.9,252
2001,48,21.81818182,3.082743651,7,3.181818182,1.157452789,-0.233614851,1.049822124,393.9,204.9
2002,38,17.27272727,2.849128799,20,9.090909091,2.207274913,0.351397887,-0.430782916,103.3,393.9
2003,54,24.54545455,3.200526686,13,5.909090909,1.776491997,0.259511195,0.207639365,197.4,103.3
2004,70,31.81818182,3.460037882,16,7.272727273,1.984131362,0.082238098,0.060624622,123.1,197.4
2005,76,34.54545455,3.54227598,17,7.727272727,2.044755984,0.075985907,0.211309094,158.2,123.1
2006,82,37.27272727,3.618261887,21,9.545454545,2.256065077,0,-0.271933715,98,158.2
2007,82,37.27272727,3.618261887,16,7.272727273,1.984131362,0.256719847,-0.374693449,158,98
2008,106,48.18181818,3.874981734,11,5,1.609437912,0.326993493,1.003302109,141,158
2009,147,66.81818182,4.201975226,30,13.63636364,2.612740021,-0.245500458,-0.356674944,99.3,141
2010,115,52.27272727,3.956474768,21,9.545454545,2.256065077,-0.212332635,-0.741937345,185.2,99.3
2011,93,42.27272727,3.744142133,10,4.545454545,1.514127733,-0.269919616,-0.223143551,76.5,185.2
2012,71,32.27272727,3.474222517,8,3.636363636,1.290984181,-0.766172316,-0.980829253,90.4,76.5
2013,33,15,2.708050201,3,1.363636364,0.310154928,0.029852963,0.84729786,102.1,90.4
2014,34,15.45454545,2.737903164,7,3.181818182,1.157452789,0.137201122,-1.945910149,213.9,102.1
2015,39,17.72727273,2.875104286,1,0.454545455,-0.78845736,1.234278154,3.583518938,195.4,213.9
2016,134,60.90909091,4.10938244,36,16.36363636,2.795061578,-0.282719283,1.00144854,262.2,195.4
2017,101,45.90909091,3.826663156,98,44.54545455,3.796510118,-0.338454398,-0.756326082,76,262.2
2018,72,32.72727273,3.488208759,46,20.90909091,3.040184036,-4.276666119,-2.442347035,20,76